subnum,block,type,correctresponse,trial,choice,x,y,stim,present,response,responded,corr,starttime,rt
tuhaoeu,2,practice,R,10,1,860,370,R,1,response,1,1,295117,615
tuhaoeu,3,test,R,1,3,860,570,R,1,NONE,0,0,301807,1450
tuhaoeu,3,test,R,2,3,860,570,R,1,response,1,1,303307,378
tuhaoeu,3,test,R,3,3,860,570,R,1,response,1,1,304807,447
tuhaoeu,3,test,R,4,3,860,570,P,0,NONE,0,1,306307,1450
tuhaoeu,3,test,R,5,4,1060,570,P,0,NONE,0,1,307807,1450
tuhaoeu,3,test,R,6,3,860,570,P,0,NONE,0,1,309307,1450
tuhaoeu,3,test,R,7,2,1060,370,P,0,NONE,0,1,310807,1450
tuhaoeu,3,test,R,8,4,1060,570,R,1,response,1,1,312307,478
tuhaoeu,3,test,R,9,3,860,570,R,1,response,1,1,313807,490
tuhaoeu,3,test,R,10,4,1060,570,P,0,NONE,0,1,315307,1450
tuhaoeu,3,test,R,11,3,860,570,P,0,NONE,0,1,316807,1450
tuhaoeu,3,test,R,12,4,1060,570,P,0,NONE,0,1,318307,1450
tuhaoeu,3,test,R,13,3,860,570,R,1,response,1,1,319807,502
tuhaoeu,3,test,R,14,3,860,570,R,1,response,1,1,321307,465
tuhaoeu,3,test,R,15,3,860,570,R,1,response,1,1,322807,449
tuhaoeu,3,test,R,16,3,860,570,P,0,response,1,0,324307,447
tuhaoeu,3,test,R,17,4,1060,570,R,1,response,1,1,325807,466
tuhaoeu,3,test,R,18,2,1060,370,P,0,response,1,0,327307,436
tuhaoeu,3,test,R,19,2,1060,370,P,0,NONE,0,1,328807,1450
tuhaoeu,3,test,R,20,2,1060,370,R,1,response,1,1,330307,495
tuhaoeu,3,test,R,21,3,860,570,P,0,NONE,0,1,331807,1450
tuhaoeu,3,test,R,22,1,860,370,R,1,response,1,1,333307,413
tuhaoeu,3,test,R,23,1,860,370,R,1,response,1,1,334807,713
tuhaoeu,3,test,R,24,1,860,370,R,1,response,1,1,336307,584
tuhaoeu,3,test,R,25,3,860,570,P,0,response,1,0,337807,533
tuhaoeu,3,test,R,26,4,1060,570,R,1,NONE,0,0,339307,1450
