"subnum" "trial" "step" "startx" "starty" "xtrans" "ytrans" "label" "targx" "targy" "dist" "timeout" "hit" "rt"
111 6 4 1024 307 1 -1 "MODIFIED6" 1313 782 556.009 2000 1 821
111 6 5 1312 315 1 -1 "MODIFIED6" 1098 574 335.972 2000 1 1112
111 6 6 1112 508 1 -1 "MODIFIED6" 965 305 250.635 2000 1 1131
111 6 7 979 765 1 -1 "MODIFIED6" 1013 601 167.487 2000 1 751
111 6 8 1026 493 1 -1 "MODIFIED6" 1292 492 266.002 2000 1 901
111 6 9 1275 590 1 -1 "MODIFIED6" 1202 778 201.675 2000 1 1113
111 6 10 1207 319 1 -1 "MODIFIED6" 905 822 586.697 2000 1 1051
111 6 11 912 275 1 -1 "MODIFIED6" 639 683 490.91 2000 1 591
111 6 12 655 391 1 -1 "MODIFIED6" 868 489 234.463 2000 1 882
111 6 13 870 573 1 -1 "MODIFIED6" 1164 441 322.273 2000 1 751
111 6 14 1165 625 1 -1 "MODIFIED6" 1300 709 159 2000 1 561
111 6 15 1283 376 1 -1 "MODIFIED6" 1233 416 64.0312 2000 1 831
111 6 16 1247 650 1 -1 "MODIFIED6" 1080 674 168.716 2000 1 851
111 6 17 1093 417 1 -1 "MODIFIED6" 1131 378 54.4518 2000 1 502
111 6 18 1138 700 1 -1 "MODIFIED6" 887 553 290.878 2000 1 752
111 6 19 887 544 1 -1 "MODIFIED6" 602 646 302.703 2000 1 761
111 6 20 600 452 1 -1 "MODIFIED6" 596 346 106.075 2000 1 1071
111 6 21 614 734 1 -1 "MODIFIED6" 838 523 307.729 2000 1 684
111 6 22 823 558 1 -1 "MODIFIED6" 626 734 264.169 2000 1 1032
111 6 23 634 362 1 -1 "MODIFIED6" 914 651 402.394 2000 1 712
111 6 24 901 419 1 -1 "MODIFIED6" 845 359 82.0731 2000 1 1051
111 6 25 847 706 1 -1 "MODIFIED6" 730 636 136.341 2000 1 1254
111 6 26 715 441 1 -1 "MODIFIED6" 1009 746 423.628 2000 1 1102
111 6 27 1012 349 1 -1 "MODIFIED6" 1114 465 154.467 2000 1 1201
111 6 28 1118 598 1 -1 "MODIFIED6" 1325 677 221.563 2000 1 1122
111 6 29 1329 422 1 -1 "MODIFIED6" 1113 465 220.239 2000 1 901
