function_name,function_type,library,namespace,parameters,in_reference,in_source,status,Action,sphinx_implemented
Makegabor,PEBL_FUNCTION,Graphics.pbl,,"size, win, freq, sd, angle, phase, bglev",YES,NO,PEBL_DOCUMENTED,COMPLETE,graphics.rst (full)
Makegraph,PEBL_FUNCTION,Graphics.pbl,,"data, xsize, ysize, x, y",YES,NO,PEBL_DOCUMENTED,COMPLETE,graphics.rst (full)
Makeimage,COMPILED,,PEBLObjects,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Makelabel,COMPILED,,PEBLObjects,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Makemap,COMPILED,,PEBLList,2 args,NO,YES,COMPILED_UNDOCUMENTED,NOT_IMPLEMENTED,pebllist.rst (investigate)
Makemenu,PEBL_FUNCTION,UI.pbl,,"header, x, y, win, fontsize, width, subitems, functions",YES,NO,PEBL_DOCUMENTED,COMPLETE,ui.rst (full)
Makemenuitem,PEBL_FUNCTION,UI.pbl,,"text, x, y, parent, win, fontsize, width, function",YES,NO,PEBL_DOCUMENTED,COMPLETE,ui.rst (full)
Makengonpoints,PEBL_FUNCTION,Graphics.pbl,,"radius, num",YES,NO,PEBL_DOCUMENTED,COMPLETE,graphics.rst (full)
Makeparameterobject,PEBL_FUNCTION,Utility.pbl,,pairs,NO,NO,PEBL_UNDOCUMENTED,COMPLETE,utility.rst (stub)
Makepulldown,PEBL_FUNCTION,UI.pbl,,"opts, x, y, win, fontsize, width, selected",YES,NO,OBSOLETE_OR_MISSING,COMPLETE,
Makesawtoothwave,COMPILED,,PEBLObjects,2 args,NO,YES,COMPILED_UNDOCUMENTED,NOT_IMPLEMENTED,peblobjects.rst (investigate)
Makescrollbox,PEBL_FUNCTION,UI.pbl,,"opts, header, x, y, win, fontsize, width, height, selected",YES,NO,PEBL_DOCUMENTED,COMPLETE,ui.rst (full)
Makescrollingtextbox,PEBL_FUNCTION,UI.pbl,,"text, x, y, win, fontsize, width, height, linewrap",YES,NO,PEBL_DOCUMENTED,COMPLETE,ui.rst (full)
Makesinewave,COMPILED,,PEBLObjects,3 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Makesquarewave,COMPILED,,PEBLObjects,2 args,NO,YES,COMPILED_UNDOCUMENTED,NOT_IMPLEMENTED,peblobjects.rst (investigate)
Makestarpoints,PEBL_FUNCTION,Graphics.pbl,,"radiusOuter, radiusInner, num",YES,NO,PEBL_DOCUMENTED,COMPLETE,graphics.rst (full)
Maketable,PEBL_FUNCTION,Graphics.pbl,,"data, header, width, height, fontsize, fgcol, bgcol, layout:1",NO,NO,PEBL_UNDOCUMENTED,COMPLETE,graphics.rst (full)
Maketextbox,COMPILED,,PEBLObjects,4 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Maketextentry,PEBL_FUNCTION,UI.pbl,,"label, x, y, win, width, default, layout:3",YES,NO,PEBL_UNDOCUMENTED,COMPLETE,ui.rst (stub)
Maketextlist,PEBL_FUNCTION,UI.pbl,,"list, listoffset, maxlength, prebuffer",YES,NO,PEBL_DOCUMENTED,COMPLETE,ui.rst (full)
Makewindow,COMPILED,,PEBLObjects,0-3 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Match,PEBL_FUNCTION,Math.pbl,,"list, item",YES,NO,PEBL_DOCUMENTED,COMPLETE,math.rst (full)
Max,PEBL_FUNCTION (wraps compiled),Math.pbl,PEBLMath,list,YES,NO,PEBL_DOCUMENTED,COMPLETE,math.rst (full)
Md5file,,,,,YES,YES,DOCUMENTED,COMPLETE,
Md5sum,,,,,YES,YES,DOCUMENTED,COMPLETE,
Mean,PEBL_FUNCTION (wraps compiled),Math.pbl,PEBLMath,list,YES,NO,COMPILED_DOCUMENTED,COMPLETE,peblmath.rst (full)
Median,PEBL_FUNCTION (wraps compiled),Math.pbl,PEBLMath,list,YES,NO,PEBL_DOCUMENTED,COMPLETE,math.rst (full)
Merge,COMPILED,,PEBLList,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,pebllist.rst (full)
Messagebox,PEBL_FUNCTION,Utility.pbl,,"text, win, fontsize:20, xleftgutter:100, xrightgutter:100, bottomgutter:200, useBG:1, ack:""<OK>""",YES,NO,PEBL_DOCUMENTED,COMPLETE,utility.rst (full)
Min,PEBL_FUNCTION (wraps compiled),Math.pbl,PEBLMath,list,YES,NO,PEBL_DOCUMENTED,COMPLETE,math.rst (full)
Mod,COMPILED,,PEBLMath,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblmath.rst (full)
Modlist,COMPILED,,PEBLList,1-3 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,pebllist.rst (full)
Move,COMPILED,,PEBLObjects,3 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Movebutton,PEBL_FUNCTION,UI.pbl,,"button, x, y",YES,NO,PEBL_UNDOCUMENTED,COMPLETE,ui.rst (stub)
Movecenter,PEBL_FUNCTION,Utility.pbl,,"object, x, y",YES,NO,PEBL_DOCUMENTED,COMPLETE,utility.rst (full)
Movecorner,PEBL_FUNCTION,Utility.pbl,,"object, x, y",YES,NO,PEBL_DOCUMENTED,COMPLETE,utility.rst (full)
Moveobject,PEBL_FUNCTION,Utility.pbl,,"p, x, y",YES,NO,PEBL_DOCUMENTED,COMPLETE,utility.rst (full)
Moveobjectx,PEBL_FUNCTION,Graphics.pbl,,"obj, x, y",NO,NO,PEBL_UNDOCUMENTED,HIDDEN,hidden
Nonoverlaplayout,PEBL_FUNCTION,Graphics.pbl,,"xmin, xmax, ymin, ymax, tol, num",YES,NO,PEBL_DOCUMENTED,COMPLETE,graphics.rst (full)
Normaldensity,PEBL_FUNCTION,Math.pbl,,x,YES,NO,PEBL_DOCUMENTED,COMPLETE,math.rst (full)
Nth,COMPILED,,PEBLList,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,pebllist.rst (full)
Nthroot,COMPILED,,PEBLMath,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblmath.rst (full)
Opencomport,COMPILED,,PEBLStream,2-3 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstream.rst (stub)
