"subnum" "stimtype" "block" "trialtype" "trial" "condition" "stim" "dim1" "dim2" "time0" "resp1" "rt1" "corr1" "resp2" "rt2" "corr2" "tooslow"
333 4 6 "PRACTICE" -24 3 4 0 0 367740 2 553 1 0 550 1 0
333 4 6 "PRACTICE" -23 3 3 1 0 369291 1 523 1 0 529 1 0
333 4 6 "PRACTICE" -22 3 1 1 1 371029 1 468 1 9 469 1 0
333 4 6 "PRACTICE" -21 3 1 1 1 372408 1 504 1 9 483 1 0
333 4 6 "PRACTICE" -20 3 3 1 0 374127 1 514 1 0 510 1 0
333 4 6 "PRACTICE" -19 3 4 0 0 375749 2 412 1 0 408 1 0
333 4 6 "PRACTICE" -18 3 2 0 1 377449 2 573 1 9 586 1 0
333 4 6 "TEST" 1 3 1 1 1 378909 1 473 1 9 479 1 0
333 4 6 "TEST" 2 3 3 1 0 380342 2 465 0 0 417 1 0
333 4 6 "TEST" 3 3 4 0 0 382215 2 524 1 0 527 1 0
333 4 6 "TEST" 4 3 2 0 1 383693 2 545 1 9 562 1 0
333 4 6 "TEST" 5 3 4 0 0 385121 2 505 1 0 508 1 0
333 4 6 "TEST" 6 3 2 0 1 386654 2 560 1 9 571 1 0
333 4 6 "TEST" 7 3 1 1 1 388230 1 511 1 9 503 1 0
333 4 6 "TEST" 8 3 3 1 0 389721 1 451 1 0 458 1 0
333 4 6 "TEST" 9 3 1 1 1 391235 1 499 1 9 500 1 0
333 4 6 "TEST" 10 3 2 0 1 392724 2 511 1 9 525 1 0
333 4 6 "TEST" 11 3 3 1 0 394064 1 506 1 0 506 1 0
333 4 6 "TEST" 12 3 4 0 0 395702 2 566 1 0 461 1 0
333 4 6 "TEST" 13 3 2 0 1 397087 2 853 1 9 878 1 0
333 4 6 "TEST" 14 3 3 1 0 398917 1 484 1 0 490 1 0
333 4 6 "TEST" 15 3 1 1 1 400219 1 535 1 9 537 1 0
333 4 6 "TEST" 16 3 4 0 0 401972 2 475 1 0 486 1 0
333 4 6 "TEST" 17 3 1 1 1 403526 1 461 1 9 474 1 0
333 4 6 "TEST" 18 3 3 1 0 405209 1 397 1 0 410 1 0
333 4 6 "TEST" 19 3 2 0 1 406509 2 440 1 9 440 1 0
333 4 6 "TEST" 20 3 4 0 0 408094 1 498 0 0 505 1 0
333 4 6 "TEST" 21 3 2 0 1 410070 2 519 1 9 536 1 0
333 4 6 "TEST" 22 3 1 1 1 411628 1 474 1 9 541 1 0
333 4 6 "TEST" 23 3 4 0 0 412987 2 530 1 0 521 1 0
333 4 6 "TEST" 24 3 3 1 0 414324 1 572 1 0 598 1 0
333 4 6 "TEST" 25 3 1 1 1 415948 1 433 1 9 428 1 0
333 4 7 "PRACTICE" -25 1 4 0 0 453850 2 446 1 NA 0 0 0
333 4 7 "PRACTICE" -24 1 3 1 0 455499 1 449 1 NA 0 0 0
333 4 7 "PRACTICE" -23 1 2 0 1 457045 2 480 1 NA 0 0 0
333 4 7 "PRACTICE" -22 1 1 1 1 458574 1 406 1 NA 0 0 0
333 4 7 "PRACTICE" -21 1 2 0 1 460022 2 378 1 NA 0 0 0
333 4 7 "PRACTICE" -20 1 3 1 0 461424 1 445 1 NA 0 0 0
333 4 7 "PRACTICE" -19 1 1 1 1 463058 1 431 1 NA 0 0 0
333 4 7 "PRACTICE" -18 1 4 0 0 464570 2 438 1 NA 0 0 0
333 4 7 "TEST" 1 1 4 0 0 466134 2 423 1 NA 0 0 0
333 4 7 "TEST" 2 1 1 1 1 467639 1 411 1 NA 0 0 0
333 4 7 "TEST" 3 1 3 1 0 468857 1 569 1 NA 0 0 0
333 4 7 "TEST" 4 1 2 0 1 470668 2 429 1 NA 0 0 0
333 4 7 "TEST" 5 1 3 1 0 471900 1 517 1 NA 0 0 0
333 4 7 "TEST" 6 1 1 1 1 473466 1 406 1 NA 0 0 0
333 4 7 "TEST" 7 1 2 0 1 474875 2 529 1 NA 0 0 0
333 4 7 "TEST" 8 1 4 0 0 476438 2 393 1 NA 0 0 0
333 4 7 "TEST" 9 1 2 0 1 478032 2 405 1 NA 0 0 0
333 4 7 "TEST" 10 1 1 1 1 479467 1 434 1 NA 0 0 0
333 4 7 "TEST" 11 1 3 1 0 481071 1 383 1 NA 0 0 0
333 4 7 "TEST" 12 1 4 0 0 482396 2 571 1 NA 0 0 0
333 4 7 "TEST" 13 1 1 1 1 483866 1 408 1 NA 0 0 0
333 4 7 "TEST" 14 1 2 0 1 485247 2 483 1 NA 0 0 0
333 4 7 "TEST" 15 1 4 0 0 486631 2 406 1 NA 0 0 0
333 4 7 "TEST" 16 1 3 1 0 488318 1 499 1 NA 0 0 0
333 4 7 "TEST" 17 1 1 1 1 490096 1 421 1 NA 0 0 0
333 4 7 "TEST" 18 1 2 0 1 491600 2 531 1 NA 0 0 0
333 4 7 "TEST" 19 1 3 1 0 493002 1 603 1 NA 0 0 0
333 4 7 "TEST" 20 1 4 0 0 494599 2 430 1 NA 0 0 0
333 4 7 "TEST" 21 1 3 1 0 496124 1 352 1 NA 0 0 0
333 4 7 "TEST" 22 1 4 0 0 497557 2 483 1 NA 0 0 0
333 4 7 "TEST" 23 1 2 0 1 498964 2 452 1 NA 0 0 0
333 4 7 "TEST" 24 1 1 1 1 500338 1 457 1 NA 0 0 0
333 4 7 "TEST" 25 1 3 1 0 501776 1 482 1 NA 0 0 0
333 4 8 "PRACTICE" -25 2 1 1 1 507275 NA 0 0 9 469 1 0
333 4 8 "PRACTICE" -24 2 2 0 1 508634 NA 0 0 9 385 1 0
333 4 8 "PRACTICE" -23 2 3 1 0 510234 NA 0 0 0 381 1 0
333 4 8 "PRACTICE" -22 2 4 0 0 511646 NA 0 0 0 414 1 0
333 4 8 "PRACTICE" -21 2 3 1 0 513346 NA 0 0 0 340 1 0
333 4 8 "PRACTICE" -20 2 1 1 1 514930 NA 0 0 9 416 1 0
333 4 8 "PRACTICE" -19 2 2 0 1 516319 NA 0 0 9 362 1 0
333 4 8 "PRACTICE" -18 2 4 0 0 517562 NA 0 0 0 505 1 0
333 4 8 "TEST" 1 2 4 0 0 519073 NA 0 0 0 384 1 0
333 4 8 "TEST" 2 2 2 0 1 520272 NA 0 0 9 493 1 0
333 4 8 "TEST" 3 2 1 1 1 521971 NA 0 0 9 394 1 0
333 4 8 "TEST" 4 2 3 1 0 523495 NA 0 0 0 421 1 0
333 4 8 "TEST" 5 2 4 0 0 525212 NA 0 0 0 353 1 0
333 4 8 "TEST" 6 2 2 0 1 526691 NA 0 0 9 406 1 0
333 4 8 "TEST" 7 2 1 1 1 528023 NA 0 0 9 398 1 0
333 4 8 "TEST" 8 2 3 1 0 529295 NA 0 0 9 371 0 0
333 4 8 "TEST" 9 2 1 1 1 531188 NA 0 0 9 501 1 0
333 4 8 "TEST" 10 2 2 0 1 532887 NA 0 0 9 412 1 0
333 4 8 "TEST" 11 2 4 0 0 534529 NA 0 0 0 353 1 0
333 4 8 "TEST" 12 2 3 1 0 535867 NA 0 0 0 400 1 0
333 4 8 "TEST" 13 2 1 1 1 537427 NA 0 0 9 391 1 0
333 4 8 "TEST" 14 2 2 0 1 538698 NA 0 0 9 422 1 0
333 4 8 "TEST" 15 2 4 0 0 540346 NA 0 0 0 376 1 0
333 4 8 "TEST" 16 2 3 1 0 541963 NA 0 0 0 426 1 0
333 4 8 "TEST" 17 2 1 1 1 543537 NA 0 0 9 450 1 0
333 4 8 "TEST" 18 2 4 0 0 545134 NA 0 0 0 397 1 0
333 4 8 "TEST" 19 2 3 1 0 546770 NA 0 0 0 400 1 0
333 4 8 "TEST" 20 2 2 0 1 548450 NA 0 0 9 372 1 0
333 4 8 "TEST" 21 2 1 1 1 549803 NA 0 0 9 397 1 0
333 4 8 "TEST" 22 2 3 1 0 551069 NA 0 0 0 432 1 0
333 4 8 "TEST" 23 2 4 0 0 552665 NA 0 0 0 374 1 0
333 4 8 "TEST" 24 2 2 0 1 554050 NA 0 0 9 421 1 0
333 4 8 "TEST" 25 2 3 1 0 555428 NA 0 0 0 384 1 0
333 4 9 "PRACTICE" -25 3 2 0 1 564399 2 522 1 9 531 1 0
333 4 9 "PRACTICE" -24 3 4 0 0 566017 2 554 1 0 513 1 0
333 4 9 "PRACTICE" -23 3 3 1 0 567541 1 635 1 0 626 1 0
333 4 9 "PRACTICE" -22 3 1 1 1 569186 2 437 0 9 437 1 0
333 4 9 "PRACTICE" -21 3 4 0 0 570957 2 426 1 0 433 1 0
333 4 9 "PRACTICE" -20 3 2 0 1 572472 1 434 0 9 616 1 0
333 4 9 "PRACTICE" -19 3 3 1 0 574546 1 479 1 0 490 1 0
333 4 9 "PRACTICE" -18 3 1 1 1 576239 1 478 1 9 481 1 0
333 4 9 "TEST" 1 3 3 1 0 577985 1 598 1 0 642 1 0
333 4 9 "TEST" 2 3 4 0 0 579750 2 465 1 0 473 1 0
333 4 9 "TEST" 3 3 1 1 1 581192 1 470 1 9 482 1 0
333 4 9 "TEST" 4 3 2 0 1 582550 2 519 1 9 532 1 0
333 4 9 "TEST" 5 3 1 1 1 584058 1 494 1 9 494 1 0
333 4 9 "TEST" 6 3 4 0 0 585646 2 432 1 0 460 1 0
333 4 9 "TEST" 7 3 2 0 1 587171 2 573 1 9 604 1 0
333 4 9 "TEST" 8 3 3 1 0 589023 1 446 1 0 472 1 0
333 4 9 "TEST" 9 3 1 1 1 590652 2 437 0 9 442 1 0
333 4 9 "TEST" 10 3 2 0 1 592695 2 499 1 9 519 1 0
333 4 9 "TEST" 11 3 4 0 0 594083 2 477 1 0 465 1 0
333 4 9 "TEST" 12 3 3 1 0 595719 1 512 1 0 529 1 0
333 4 9 "TEST" 13 3 2 0 1 597364 2 481 1 9 490 1 0
333 4 9 "TEST" 14 3 4 0 0 599021 2 483 1 0 489 1 0
333 4 9 "TEST" 15 3 1 1 1 600738 1 401 1 9 415 1 0
333 4 9 "TEST" 16 3 3 1 0 602143 1 511 1 0 513 1 0
333 4 9 "TEST" 17 3 1 1 1 603831 1 488 1 9 489 1 0
333 4 9 "TEST" 18 3 3 1 0 605275 1 440 1 0 459 1 0
333 4 9 "TEST" 19 3 4 0 0 606873 2 450 1 0 438 1 0
333 4 9 "TEST" 20 3 2 0 1 608440 1 406 0 9 429 1 0
333 4 9 "TEST" 21 3 3 1 0 610188 1 475 1 0 483 1 0
333 4 9 "TEST" 22 3 2 0 1 611676 2 490 1 9 499 1 0
333 4 9 "TEST" 23 3 4 0 0 613340 2 473 1 0 492 1 0
333 4 9 "TEST" 24 3 1 1 1 614735 1 465 1 9 460 1 0
333 4 9 "TEST" 25 3 2 0 1 616488 2 483 1 9 500 1 0
333 4 10 "PRACTICE" -25 1 2 0 1 678447 2 577 1 NA 0 0 0
333 4 10 "PRACTICE" -24 1 1 1 1 680312 1 392 1 NA 0 0 0
333 4 10 "PRACTICE" -23 1 4 0 0 681840 2 408 1 NA 0 0 0
333 4 10 "PRACTICE" -22 1 3 1 0 683491 1 372 1 NA 0 0 0
333 4 10 "PRACTICE" -21 1 4 0 0 684993 2 498 1 NA 0 0 0
333 4 10 "PRACTICE" -20 1 1 1 1 686582 1 391 1 NA 0 0 0
333 4 10 "PRACTICE" -19 1 3 1 0 688090 1 441 1 NA 0 0 0
333 4 10 "PRACTICE" -18 1 2 0 1 689766 2 449 1 NA 0 0 0
333 4 10 "TEST" 1 1 3 1 0 691206 1 377 1 NA 0 0 0
333 4 10 "TEST" 2 1 1 1 1 692431 1 490 1 NA 0 0 0
333 4 10 "TEST" 3 1 2 0 1 694060 2 438 1 NA 0 0 0
333 4 10 "TEST" 4 1 4 0 0 695455 2 401 1 NA 0 0 0
333 4 10 "TEST" 5 1 3 1 0 696786 1 416 1 NA 0 0 0
333 4 10 "TEST" 6 1 4 0 0 698058 2 496 1 NA 0 0 0
333 4 10 "TEST" 7 1 2 0 1 699842 2 488 1 NA 0 0 0
333 4 10 "TEST" 8 1 1 1 1 701271 1 382 1 NA 0 0 0
333 4 10 "TEST" 9 1 2 0 1 702911 2 331 1 NA 0 0 0
333 4 10 "TEST" 10 1 4 0 0 704229 1 403 0 NA 0 0 0
333 4 10 "TEST" 11 1 3 1 0 706235 1 436 1 NA 0 0 0
333 4 10 "TEST" 12 1 1 1 1 707669 1 412 1 NA 0 0 0
333 4 10 "TEST" 13 1 3 1 0 709083 1 523 1 NA 0 0 0
333 4 10 "TEST" 14 1 2 0 1 710887 2 463 1 NA 0 0 0
333 4 10 "TEST" 15 1 4 0 0 712290 2 507 1 NA 0 0 0
333 4 10 "TEST" 16 1 1 1 1 713676 1 619 1 NA 0 0 0
333 4 10 "TEST" 17 1 2 0 1 715356 2 422 1 NA 0 0 0
333 4 10 "TEST" 18 1 3 1 0 716645 1 501 1 NA 0 0 0
333 4 10 "TEST" 19 1 4 0 0 718432 2 402 1 NA 0 0 0
333 4 10 "TEST" 20 1 1 1 1 719982 1 480 1 NA 0 0 0
333 4 10 "TEST" 21 1 4 0 0 721271 2 452 1 NA 0 0 0
333 4 10 "TEST" 22 1 3 1 0 722724 1 410 1 NA 0 0 0
333 4 10 "TEST" 23 1 2 0 1 724331 2 424 1 NA 0 0 0
333 4 10 "TEST" 24 1 1 1 1 725921 1 370 1 NA 0 0 0
333 4 10 "TEST" 25 1 2 0 1 727277 2 471 1 NA 0 0 0
333 4 11 "PRACTICE" -25 2 2 0 1 732031 NA 0 0 0 719 0 0
333 4 11 "PRACTICE" -24 2 3 1 0 734206 NA 0 0 0 442 1 0
333 4 11 "PRACTICE" -23 2 1 1 1 735592 NA 0 0 9 432 1 0
333 4 11 "PRACTICE" -22 2 4 0 0 737232 NA 0 0 0 390 1 0
333 4 11 "PRACTICE" -21 2 2 0 1 738439 NA 0 0 9 583 1 0
333 4 11 "PRACTICE" -20 2 1 1 1 740256 NA 0 0 9 450 1 0
333 4 11 "PRACTICE" -19 2 3 1 0 741747 NA 0 0 0 395 1 0
