subnum,maze,event,move,pos,x,y,abstime
11111,JSON Object,MOVE,[7, 6],906,363,338219
11111,JSON Object,MOVE,[6, 6],906,336,338542
11111,JSON Object,MOVE,[6, 7],933,336,338660
11111,JSON Object,MOVE,[7, 7],933,363,339008
11111,JSON Object,MOVE,[7, 8],959,363,339192
11111,JSON Object,MOVE,[8, 8],959,390,339368
11111,JSON Object,MOVE,[8, 7],933,390,339559
11111,JSON Object,MOVE,[9, 7],933,416,339762
11111,JSON Object,MOVE,[10, 7],933,443,339930
11111,JSON Object,MOVE,[10, 6],906,443,340111
11111,JSON Object,MOVE,[11, 6],906,470,340250
11111,JSON Object,MOVE,[12, 6],906,496,340851
11111,JSON Object,MOVE,[13, 6],906,523,341044
11111,JSON Object,MOVE,[14, 6],906,549,341227
11111,JSON Object,MOVE,[14, 7],933,549,341444
11111,JSON Object,MOVE,[14, 8],959,549,341672
11111,JSON Object,MOVE,[13, 8],959,523,341889
11111,JSON Object,MOVE,[13, 9],986,523,342067
11111,JSON Object,MOVE,[13, 10],1013,523,342259
11111,JSON Object,MOVE,[14, 10],1013,549,342415
11111,JSON Object,MOVE,[14, 11],1040,549,342923
11111,JSON Object,MOVE,[14, 11],1040,549,343091
11111,JSON Object,MOVE,[15, 11],1040,576,343214
11111,JSON Object,MOVE,[15, 12],1066,576,343357
11111,JSON Object,MOVE,[14, 12],1066,549,343525
11111,JSON Object,MOVE,[13, 12],1066,523,343696
11111,JSON Object,MOVE,[13, 13],1093,523,343857
11111,JSON Object,MOVE,[13, 14],1120,523,344051
11111,JSON Object,MOVE,[13, 14],1120,523,344101
11111,JSON Object,MOVE,[13, 15],1146,523,344256
11111,JSON Object,MOVE,[13, 14],1120,523,344522
11111,JSON Object,MOVE,[13, 13],1093,523,344863
11111,JSON Object,MOVE,[14, 13],1093,549,345035
11111,JSON Object,MOVE,[14, 14],1120,549,345355
11111,JSON Object,MOVE,[14, 15],1146,549,345532
11111,JSON Object,MOVE,[15, 15],1146,576,345695
11111,JSON Object,MOVE,[1, 2],800,203,347806
11111,JSON Object,MOVE,[2, 2],800,230,347988
11111,JSON Object,MOVE,[3, 2],800,256,348174
11111,JSON Object,MOVE,[4, 2],800,283,348365
11111,JSON Object,MOVE,[3, 2],800,256,348594
11111,JSON Object,MOVE,[2, 2],800,230,348793
11111,JSON Object,MOVE,[1, 2],800,203,349004
11111,JSON Object,MOVE,[1, 1],773,203,349421
11111,JSON Object,MOVE,[2, 1],773,230,349596
11111,JSON Object,MOVE,[3, 1],773,256,349751
11111,JSON Object,MOVE,[4, 1],773,283,349941
11111,JSON Object,MOVE,[5, 1],773,310,350106
11111,JSON Object,MOVE,[5, 2],800,310,350339
11111,JSON Object,MOVE,[5, 3],826,310,350531
11111,JSON Object,MOVE,[5, 4],853,310,350726
11111,JSON Object,MOVE,[5, 5],880,310,350916
11111,JSON Object,MOVE,[5, 4],853,310,351174
11111,JSON Object,MOVE,[6, 4],853,336,351340
11111,JSON Object,MOVE,[7, 4],853,363,351524
11111,JSON Object,MOVE,[8, 4],853,390,351700
11111,JSON Object,MOVE,[8, 5],880,390,351857
11111,JSON Object,MOVE,[8, 6],906,390,352045
11111,JSON Object,MOVE,[8, 7],933,390,352234
11111,JSON Object,MOVE,[8, 8],959,390,352414
11111,JSON Object,MOVE,[9, 8],959,416,352687
11111,JSON Object,MOVE,[9, 9],986,416,352842
11111,JSON Object,MOVE,[10, 9],986,443,352995
11111,JSON Object,MOVE,[11, 9],986,470,353468
11111,JSON Object,MOVE,[11, 10],1013,470,353649
11111,JSON Object,MOVE,[12, 10],1013,496,353803
11111,JSON Object,MOVE,[12, 10],1013,496,354019
11111,JSON Object,MOVE,[12, 11],1040,496,354290
11111,JSON Object,MOVE,[13, 11],1040,523,354414
11111,JSON Object,MOVE,[13, 11],1040,523,354596
11111,JSON Object,MOVE,[13, 10],1013,523,354677
11111,JSON Object,MOVE,[14, 10],1013,549,354798
11111,JSON Object,MOVE,[15, 10],1013,576,355001
11111,JSON Object,MOVE,[15, 10],1013,576,355175
11111,JSON Object,MOVE,[15, 11],1040,576,355269
